-999;SUMMARY;ATMG-A;mg;4.0;NAN;NAN
-999;SUMMARY;B12;µg;0.4;NAN;NAN
-999;SUMMARY;B6;mg;0.1;NAN;NAN
-999;SUMMARY;BIOT;µg;5.0;NAN;NAN
-999;SUMMARY;CA;mg;200.0;NAN;NAN
-999;SUMMARY;CHOLN;mg;125.0;NAN;NAN
-999;SUMMARY;CU;mg;0.2;NAN;NAN
-999;SUMMARY;D-IU;IU;400.0;NAN;NAN
-999;SUMMARY;D3+D2-µG;µg;10.00;NAN;NAN
-999;SUMMARY;DFE;µg;65.0;NAN;NAN
-999;SUMMARY;FE;mg;0.27;NAN;NAN
-999;SUMMARY;K;mg;400.0;NAN;NAN
-999;SUMMARY;MG;mg;30.0;NAN;NAN
-999;SUMMARY;MN;mg;0.003;NAN;NAN
-999;SUMMARY;N-MG;mg;2.0;NAN;NAN
-999;SUMMARY;NA;mg;120.0;NAN;NAN
-999;SUMMARY;P;mg;100.0;NAN;NAN
-999;SUMMARY;PANT;mg;1.7;NAN;NAN
-999;SUMMARY;RAE;µg;400.0;NAN;NAN
-999;SUMMARY;RIBO;mg;0.3;NAN;NAN
-999;SUMMARY;SE;µg;15.0;NAN;NAN
-999;SUMMARY;TDF;g;;NAN;NAN
-999;SUMMARY;THIA;mg;0.2;NAN;NAN
-999;SUMMARY;VITC;mg;40.0;NAN;NAN
-999;SUMMARY;VITK;µg;2.0;NAN;NAN
-999;SUMMARY;ZN;mg;2.0;NAN;NAN
-999;SUMMARY;18:2undiff;g;4.4;NAN;NAN
-999;SUMMARY;18:3undiff;g;0.5;NAN;NAN
-999;SUMMARY;H2O;g;700.0;NAN;NAN
-999;SUMMARY;KCAL;kCal;0;NAN;NAN
-999;SUMMARY;FAT;g;0;NAN;NAN
-999;SUMMARY;PROT;g;0;NAN;NAN
-999;SUMMARY;CARB;g;0;NAN;NAN
